title,Movie_box_office_revenue,Movie_genres,Movie_year_released,mbti,enneagram,role
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ESFJ,,Barbie
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ESFP,,Ken
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ISFP,,Allan
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ISFJ,,Gloria
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ENFJ,,President Barbie
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ISFP,,Sasha
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,INFJ,,Ruth Handler
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ENTP,,Weird Barbie
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ESTP,,Rival Ken
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ENFP,,Mattel CEO
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ESTJ,,Physicist Barbie
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ISTP,,Kenmaid
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,INFP,,Writer Barbie
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ISTJ,,Judge Barbie
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,ESFJ,,Mattel Executives
barbie,1442000000.0,"[Adventure, Comedy, Fantasy, Animation, Romance, Romantic Comedy]",2023,INFJ,,Mermaid Barbie
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INTJ,,J. Robert Oppenheimer
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ENTJ,,Kitty Oppenheimer
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ISFP,,Jean Tatlock
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ESTJ,,Leslie Groves Jr.
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ISTJ,,Boris Pash
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ENTJ,,Lewis Strauss
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INFJ,,Senate Aide
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ENFJ,,Ernest Lawrence
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ENTP,,Edward Teller
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INTP,,Albert Einstein
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INTP,,George Kistiakowsky
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INTP,,David Hill
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ESTJ,,Roger Robb
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ISFP,,Kenneth Bainbridge
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ISTJ,,Kenneth Nichols
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ISTJ,,Vannevar Bush
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INFJ,,Niels Bohr
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,INTP,,Lilli Horning
oppenheimer,953000000.0,"[Biography, History, Drama, Documentary, Action, Mystery, Thriller]",2023,ENFJ,,Haakon Chevalier
